model,temperature,generation,ticks_survived,charge_efficiency,signs_written,vaults_attempted,vaults_solved
llama3.2,0.2,6,26,0.0,1,0,0
llama3.2,0.2,7,23,0.0,0,1,0
llama3.2,0.2,8,31,0.177,0,0,0
llama3.2,0.2,9,35,0.283,2,0,0
llama3.2,0.2,10,26,0.131,1,1,0
llama3.2,0.2,11,25,0.0,0,0,0
llama3.2,0.2,12,23,0.0,0,2,0
llama3.2,0.2,13,26,0.192,2,2,0
llama3.2,0.2,14,25,0.0,0,0,0
llama3.2,0.2,15,32,0.19,0,0,0
llama3.2,0.2,16,23,0.0,0,1,0
llama3.2,0.2,17,23,0.0,0,1,0
llama3.2,0.2,18,23,0.0,1,1,0
llama3.2,0.2,19,36,0.273,0,0,0
llama3.2,0.2,20,30,0.177,0,1,0
llama3.2,0.2,21,30,0.132,0,0,0
llama3.2,0.2,22,24,0.0,0,1,0
llama3.2,0.2,23,32,0.262,0,2,0
llama3.2,0.2,24,31,0.19,1,0,0
llama3.2,0.2,25,24,0.132,1,2,0
llama3.2,0.2,26,26,0.0,0,0,0
llama3.2,0.2,27,23,0.0,0,1,0
llama3.2,0.2,28,26,0.0,0,0,0
llama3.2,0.2,29,26,0.0,0,0,0
llama3.2,0.2,30,38,0.387,0,2,0
llama3.2,0.2,31,25,0.0,1,0,0
llama3.2,0.2,32,24,0.0,0,1,0
llama3.2,0.2,33,26,0.0,0,0,0
llama3.2,0.2,34,27,0.137,2,1,0
llama3.2,0.2,35,26,0.0,0,0,0
llama3.2,0.2,36,45,0.492,0,3,0
llama3.2,0.2,37,25,0.0,1,0,0
llama3.2,0.2,38,36,0.256,0,0,0
llama3.2,0.2,39,32,0.186,0,0,0
llama3.2,0.2,40,31,0.173,0,0,0
llama3.2,0.2,41,35,0.296,0,1,0
llama3.2,0.2,42,27,0.0,0,0,0
llama3.2,0.2,43,24,0.0,0,1,0
llama3.2,0.2,44,20,0.0,1,2,0
llama3.2,0.2,45,24,0.0,0,1,0
llama3.2,0.2,46,30,0.129,0,0,0
llama3.2,0.2,47,36,0.264,0,0,0
llama3.2,0.2,48,31,0.145,0,1,0
llama3.2,0.2,49,30,0.155,1,1,0
llama3.2,0.2,50,24,0.0,0,1,0
llama3.2,0.2,51,31,0.177,2,0,0
llama3.2,0.2,52,23,0.0,0,1,0
llama3.1,0.2,1,21,0.0,1,2,0
llama3.1,0.2,2,26,0.133,3,1,0
llama3.1,0.2,1,21,0.0,2,2,0
llama3.1,0.2,2,22,0.0,0,2,0
llama3.1,0.2,3,23,0.0,1,2,0
llama3.1,0.2,4,22,0.0,3,1,0
llama3.1,0.2,5,26,0.0,2,0,0
llama3.1,0.2,6,20,0.0,2,2,0
llama3.1,0.2,7,28,0.171,2,1,0
llama3.1,0.2,8,22,0.0,3,1,0
llama3.1,0.2,9,26,0.0,2,0,0
llama3.1,0.2,10,24,0.0,2,0,0
llama3.1,0.2,11,24,0.0,3,0,0
llama3.1,0.2,12,26,0.0,1,0,0
llama3.1,0.2,13,25,0.0,2,1,0
llama3.1,0.2,14,25,0.0,1,0,0
llama3.1,0.2,15,34,0.25,1,0,0
llama3.1,0.2,16,18,0.0,1,3,0
llama3.1,0.2,17,20,0.0,1,2,0
llama3.1,0.2,18,30,0.138,1,0,0
llama3.1,0.2,19,25,0.0,0,0,0
llama3.1,0.2,20,33,0.27,2,1,0
llama3.1,0.2,21,26,0.0,1,0,0
llama3.1,0.2,22,29,0.13,2,0,0
llama3.1,0.2,23,33,0.248,2,2,0
llama3.1,0.2,24,28,0.125,2,0,0
llama3.1,0.2,25,30,0.165,2,0,0
llama3.1,0.2,26,25,0.0,2,0,0
llama3.1,0.2,27,23,0.0,0,1,0
llama3.1,0.2,28,37,0.301,1,0,0
llama3.1,0.2,29,22,0.0,2,1,0
llama3.1,0.2,30,26,0.0,0,0,0
llama3.1,0.2,31,25,0.143,2,2,0
llama3.1,0.2,32,25,0.0,2,0,0
llama3.1,0.2,33,25,0.0,0,0,0
llama3.1,0.2,34,23,0.0,0,1,0
llama3.1,0.2,35,22,0.0,2,1,0
llama3.1,0.2,36,23,0.0,1,1,0
llama3.1,0.2,37,23,0.0,1,1,0
llama3.1,0.2,38,30,0.137,2,0,0
llama3.1,0.2,39,20,0.0,3,2,0
